symbol_chr,RAS/CAS|L2FC,RAS/CAS|PValue,RAS/CAS|FDR,RAS/WT-O|L2FC,RAS/WT-O|PValue,RAS/WT-O|FDR,53KO/WT|L2FC,53KO/WT|PValue,53KO/WT|FDR,CAS/WT|L2FC,CAS/WT|Pvalue,CAS/WT|FDR
Spink12_chr18,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Spink13_chr18,-1.46,0.02520968,0.058787172,0.00,1,1,2.092559849,0.02520968,0.068901912,1.461287066,0.0793105,0.1474187
Spink14_chr18,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Spink2_chr5,-2.08,0.485326003,0.738297854,0.00,0.565488722,0.991621361,0,1,1,2.077215948,0.228330855,0.376421159
Spink3_chr18,-6.78,5.9214E-69,2.1171E-66,3.29,0.007140927,0.045035315,5.926642553,8.80E-16,2.42E-14,10.07141075,8.02E-74,2.42E-71
Spink4_chr4,-1.02,0.518522849,0.779058121,0.00,1,1,0,1,1,1.018392408,1,1
Spink5_chr18,0.97,5.87E-05,0.000230881,0.06,0.630169069,1,0.200989963,0.706551145,1,-0.916251533,0.001572037,0.003996296
Spink6_chr18,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Spink7_chr18,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Spink8_chr9,-0.56,1,1,0.00,1,1,0.881046073,1,1,0.56193793,1,1
Spinkl_chr18,0.00,0.555468811,0.797485369,0.00,0.555468811,0.982625323,0,1,1,0,1,1
Spint1_chr2,-4.05,6.0917E-44,7.6114E-42,1.12,0.000270174,0.002856622,0.426517796,0.201132769,0.3949578,5.167495485,6.85E-58,9.48E-56
Spint2_chr7,0.67,0.018551067,0.044773787,0.12,0.065410306,0.247256915,-0.134534971,0.693307577,1,-0.551068443,0.608198005,0.853533915
Spint3_chr2,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Spint4_chr2,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Spire1_chr18,-1.12,5.8146E-05,2.2908E-04,1.88,0.000143349,0.001626915,1.914373914,3.31E-06,2.26E-05,3.000567655,2.20E-13,1.46E-12
Spire2_chr8,0.44,0.544905541,0.797485369,2.83,1.41E-05,0.000210083,1.124584578,0.824581264,1,2.386948817,0.000235767,0.000676447
Spn_chr7,-0.91,3.82E-06,1.80E-05,3.02,9.49E-16,8.65E-14,4.651014658,1.09E-43,4.61E-41,3.924768508,1.15E-31,2.78E-30
Spns1_chr7,-0.30,0.26197039,0.445303677,-0.04,0.84547929,1,0.049204428,0.725944549,1,0.264809304,0.358064817,0.549124083
Spns2_chr11,0.10,0.555081428,0.797485369,-0.85,0.016414772,0.087175815,-1.360595261,0.000133391,0.00065307,-0.950420797,0.002854625,0.006949836
Spns3_chr11,-4.73,1.0245E-39,1.0972E-37,1.13,0.010779236,0.062831563,1.578338241,3.14E-06,2.15E-05,5.856131413,2.75E-46,1.83E-44
Spo11_chr2,-0.05,0.725997641,0.986087198,2.69,0.039698934,0.170820814,3.38475208,0.001427017,0.005494348,2.741651364,0.021878794,0.045716882
Spock1_chr13,0.86,0.551823065,0.797485369,0.86,1,1,0,1,1,0,1,1
Spock2_chr10,-1.84,0.00029364,0.001023885,-1.43,0.019745204,0.100883242,-2.25806945,0.095991438,0.215323408,0.416648915,0.289549916,0.463172317
Spock3_chr8,0.00,0.26787228,0.453445392,-1.50,0.384047587,0.79462247,0.646521514,0.800370723,1,-1.502451638,1,1
Spon1_chr7,-1.68,4.1317E-06,1.9402E-05,1.67,4.13E-05,0.000542126,-0.434720501,0.176415932,0.354785934,3.347488271,1.51E-15,1.18E-14
Spon2_chr5,1.57,6.2676E-07,3.2904E-06,-0.94,0.000237682,0.002546672,-2.867079537,4.23E-21,2.05E-19,-2.50782834,7.80E-17,6.68E-16
Spop_chr11,0.43,0.022787294,0.053747762,-0.36,0.038154329,0.165811321,-0.253172308,0.075839457,0.176834452,-0.797556381,1.52E-05,5.06E-05
Spopl_chr2,-0.90,0.007435618,0.019697226,0.21,0.51214444,0.947840949,0.574267466,0.814385173,1,1.107847225,0.046514252,0.090893064
Spp1_chr5,-0.12,0.207679192,0.36658548,1.15,3.38E-07,7.10E-06,-0.953384938,0.035854875,0.093279669,1.271467239,3.40E-10,1.75E-09
Spp2_chr1,1.93,5.9319E-11,5.0075E-10,-0.59,0.411228445,0.830172781,-0.515909468,0.048290497,0.120029,-2.518299559,3.38E-13,2.22E-12
Sppl3_chr5,0.29,0.208525418,0.367883603,0.26,0.157910617,0.458845054,-0.162674472,0.231844032,0.443351872,-0.031069185,0.871733253,1
Spr_chr6,1.63,8.6130E-15,1.0767E-13,-0.38,0.25924406,0.633792546,-0.617189278,0.001283575,0.005002565,-2.012770321,1.43E-18,1.39E-17
Spred1_chr2,-2.07,8.2604E-12,7.6727E-11,0.71,0.646415704,1,0.269225884,0.677737502,0.997000857,2.7808478,7.15E-13,4.57E-12
Spred2_chr11,-1.34,7.0782E-05,2.7471E-04,-0.28,0.098250544,0.332461071,-2.467121071,3.32E-06,2.27E-05,1.055237444,0.019535461,0.041318176
Spred3_chr7,-7.25,4.9459E-82,3.4831E-79,2.62,1.50E-05,0.000222369,2.105961969,6.13E-07,4.77E-06,9.870069209,4.97E-98,3.73E-95
Sprn_chr7,1.83,7.84E-07,4.06E-06,-0.94,0.273004284,0.652537236,-1.831321579,0.005317928,0.017617768,-2.769301371,6.30E-09,2.92E-08
Sprr1a_chr3,-1.07,0.000435113,0.001470839,2.06,0.027255022,0.129029684,1.436888405,0.515420641,0.836186786,3.138522414,2.05E-06,7.47E-06
Sprr1b_chr3,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Sprr2a1_chr3,-7.43,4.9873E-45,6.5855E-43,-0.28,0.052064723,0.208366481,5.088899161,1.42E-23,8.79E-22,7.157330811,3.24E-49,2.61E-47
Sprr2a2_chr3,-7.43,4.9233E-45,6.5382E-43,-0.28,0.052058918,0.208366481,5.088899161,1.41E-23,8.79E-22,7.157330811,3.20E-49,2.59E-47
Sprr2b_chr3,-2.71,6.3514E-10,4.7831E-09,-0.06,1,1,2.412158243,0.00033338,0.00149802,2.655314752,1.29E-07,5.30E-07
Sprr2d_chr3,-1.65,0.223097,0.389159206,0.00,1,1,0,1,1,1.645107159,0.343437585,0.532908522
Sprr2e_chr3,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Sprr2f_chr3,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Sprr2h_chr3,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Sprr2i_chr3,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Sprr2k_chr3,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Sprr3_chr3,0.00,0.554312693,0.797485369,0.00,1,1,0,1,1,0,0.554312693,0.791395255
Sprr4_chr3,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Spry1_chr3,-0.75,0.000256573,0.000905645,-0.57,0.000623582,0.005929644,-0.405012638,0.058284833,0.141156682,0.175504689,0.865630494,1
Spry2_chr14,-2.50,1.3493E-18,2.5349E-17,0.63,0.583045139,1,1.000954843,0.001779081,0.006696768,3.136369269,3.09E-19,3.12E-18
Spry4_chr18,-2.27,3.2802E-15,4.3265E-14,-0.69,0.00492555,0.033324538,-0.648664816,0.000705162,0.0029406,1.587003242,2.58E-07,1.03E-06
Spryd3_chr15,-0.08,0.968375594,1,-0.48,0.030250197,0.140434395,-0.873868224,0.000155237,0.000746626,-0.399918138,0.033607072,0.067586393
Spryd4_chr10,1.05,1.8143E-09,1.3038E-08,-0.39,0.160756447,0.46340608,-0.631362865,0.000632647,0.002669338,-1.434366905,2.13E-13,1.42E-12
Spsb1_chr4,-0.86,3.34E-05,0.000136695,0.87,0.247375652,0.615410917,0.381776576,0.495805771,0.814831067,1.73263235,4.04E-07,1.58E-06
Spsb2_chr6,1.64,3.6939E-14,4.3532E-13,-0.28,0.482193415,0.917861821,-0.605711742,0.001316915,0.005117536,-1.924392921,3.84E-16,3.13E-15
Spsb3_chr17,-0.64,0.001125313,0.003532659,-0.72,4.95E-05,0.00063754,-0.507094656,0.004340362,0.014714634,-0.086502915,0.408078603,0.61630795
Spsb4_chr9,1.62,1.4411E-10,1.1669E-09,-1.71,8.82E-05,0.001058815,-1.728048244,4.50E-08,4.24E-07,-3.327166015,3.94E-22,4.79E-21
Sptlc1_chr13,0.50,0.007448469,0.019726771,-0.11,0.604639097,1,-0.114391036,0.115237956,0.251349611,-0.613370191,0.001480086,0.003778252
Sptlc2_chr12,-0.53,0.000521911,0.001737959,0.17,0.137879978,0.418593168,-0.309923006,0.983950038,1,0.699209024,9.26E-07,3.49E-06
Sptlc3_chr2,0.74,0.297206966,0.494586837,0.74,0.531471311,0.964266924,0,1,1,0,1,1
Spty2d1_chr7,-0.44,0.263761837,0.447710122,0.05,0.361745286,0.764604985,0.594607288,0.16900773,0.342465747,0.488238845,0.844383695,1
Spz1_chr13,-0.44,0.090012691,0.179904538,0.86,1,1,0,1,1,1.30341634,0.019300068,0.040853773
Sqle_chr15,0.71,0.001589883,0.004843214,1.26,1.58E-11,6.96E-10,1.311639721,2.35E-09,2.74E-08,0.555672327,0.000217344,0.00062684
Sqrdl_chr2,1.69,2.6376E-13,2.8417E-12,-0.50,0.062140781,0.237737922,-0.579323474,0.000192334,0.000909246,-2.194271714,2.32E-19,2.36E-18
Sqstm1_chr11,1.72,8.8788E-17,1.3961E-15,-0.33,0.320884594,0.716800323,-1.331307725,1.35E-09,1.63E-08,-2.052289136,2.75E-20,2.98E-19
Sra1_chr18,0.70,0.002821221,0.008180308,-0.16,0.787652957,1,0.175831396,0.791913582,1,-0.862572914,0.006600181,0.01513152
Srbd1_chr17,0.06,0.709631727,0.968399374,-0.61,0.024962491,0.120709176,-0.845347644,0.001505258,0.005763129,-0.665074683,0.009014266,0.020246597
Src_chr2,-0.43,0.030042168,0.068704977,1.02,0.04055607,0.173165067,0.035821514,0.185777359,0.370788888,1.448147835,3.75E-05,0.000119336
Srcin1_chr11,1.25,0.035012191,0.078831752,-0.73,0.033579122,0.151533359,0.033769185,0.332181878,0.591246599,-1.975739552,6.24E-05,0.000193541
Srd5a1_chr13,3.34,1.4099E-40,1.5383E-38,-1.43,1.88E-07,4.15E-06,-2.542518977,2.06E-24,1.38E-22,-4.766234939,2.19E-65,4.27E-63
Srd5a2_chr17,1.02,3.5024E-04,1.2059E-03,-0.53,0.1619444,0.4659059,-2.375777588,8.95E-08,8.07E-07,-1.55002489,1.48E-06,5.49E-06
Srd5a3_chr5,0.81,0.000725545,0.002348093,0.42,0.133728361,0.410255185,-0.141025264,0.484816548,0.800222768,-0.382693941,0.063766571,0.121081544
Srebf1_chr11,1.23,2.7858E-08,1.7385E-07,-1.25,4.83E-06,8.07E-05,-1.477421138,2.13E-07,1.82E-06,-2.48048457,1.63E-22,2.04E-21
Srebf2_chr15,-0.52,0.019545362,0.046925022,-0.23,0.525381019,0.958763634,-1.125362532,0.001077197,0.004270566,0.294217667,0.08988045,0.164850576
Srek1_chr13,-0.41,0.089113013,0.1783181,1.27,0.000495791,0.00488642,1.197071385,1.95E-05,0.000114734,1.67945299,2.95E-07,1.17E-06
Srek1ip1_chr13,0.22,0.269483023,0.455773631,0.25,0.218179286,0.566408244,0.295977654,0.781757037,1,0.033214939,0.893148809,1
Srf_chr17,-0.37,0.05945965,0.125702016,0.10,0.756853858,1,0.344095977,0.261440889,0.48821627,0.467245564,0.119379047,0.212400018
Srfbp1_chr18,0.24,0.539129687,0.797485369,0.16,0.597455358,1,-0.05950734,0.621758972,0.930436478,-0.086116574,0.256477215,0.417024452
Srgap1_chr10,-0.75,0.005688251,0.015522319,1.78,0.037392686,0.163839747,2.091889301,0.000190745,0.000902485,2.530737969,3.45E-06,1.23E-05
Srgap2_chr1,-0.18,0.226585985,0.39373847,0.99,0.000307427,0.003193833,0.435239316,0.003151198,0.011109083,1.161858553,1.75E-06,6.44E-06
Srgap3_chr6,-3.97,1.6662E-34,1.2738E-32,-2.19,5.29E-18,6.76E-16,-2.589756284,1.31E-18,4.95E-17,1.787754287,7.19E-06,2.47E-05
Srgn_chr10,-1.96,5.0708E-16,7.3745E-15,1.67,2.15E-09,6.59E-08,3.053421029,2.44E-25,1.76E-23,3.637318004,3.89E-38,1.50E-36
Sri_chr5,0.13,0.937048005,1,0.08,0.216848716,0.564456854,-0.371905476,0.347510323,0.612803695,-0.050008328,0.247972862,0.404924769
Srl_chr16,-1.05,0.026056294,0.060536666,-0.90,0.060462715,0.232971231,-1.434583229,1.94E-06,1.38E-05,0.154931379,0.826796823,1
Srm_chr4,0.20,0.494606002,0.749666959,-0.63,0.090649041,0.313915022,0.635929796,0.000765569,0.00315468,-0.828421104,0.017785193,0.037913033
Srms_chr2,0.29,0.016588086,0.040500501,-1.89,1.42E-06,2.66E-05,-0.786833241,0.033037466,0.086942668,-2.17814374,3.38E-12,2.05E-11
Srp14_chr2,-0.57,0.012252646,0.030916845,0.07,0.393129587,0.806882592,0.947001428,0.000639525,0.002694935,0.645691997,0.000827862,0.002190539
Srp19_chr18,-0.36,0.213848193,0.375790699,-0.24,0.965936295,1,1.056923122,2.05E-05,0.000119806,0.114583478,0.23338793,0.383805229
Srp54a_chr12,0.66,0.000102713,0.0003882,0.13,0.191783042,0.51862205,-0.674633571,0.001109866,0.004385123,-0.531704913,0.009552053,0.021365707
Srp54b_chr12,0.69,7.66E-05,0.000295402,0.11,0.23592671,0.596015742,-0.805913743,0.000217852,0.001018689,-0.57858759,0.005432271,0.012628387
Srp54c_chr12,0.64,0.000158937,0.000582601,0.20,0.114489852,0.369599134,-0.633837531,0.0020859,0.007716702,-0.443638623,0.027243615,0.055783401
Srp68_chr11,0.49,0.005891796,0.016020281,-0.61,0.015705694,0.084295686,-0.771162498,0.000711384,0.00296351,-1.093110559,2.88E-07,1.14E-06
Srp72_chr5,0.62,0.001071877,0.003379058,-0.45,0.08437545,0.298052205,-0.950067525,3.89E-05,0.000213854,-1.062830771,6.98E-07,2.67E-06
Srp9_chr1,0.15,0.571995533,0.815782522,-0.31,0.669996137,1,0.858586915,0.019265565,0.054708178,-0.461414786,0.321865107,0.505551845
Srpk1_chr17,-0.65,0.003614936,0.010247756,-0.03,0.952654257,1,-0.075930912,0.38017742,0.657439039,0.619416874,0.004765453,0.011177748
Srpk2_chr5,-0.64,0.001886094,0.005661693,0.38,0.03981223,0.171054951,0.821531233,2.39E-05,0.000137984,1.026783535,3.20E-07,1.26E-06
Srpk3_chrX,-0.93,0.03583236,0.080458362,1.70,0.001940323,0.015366659,1.083095259,0.000315314,0.001424552,2.633603941,6.39E-07,2.45E-06
Srpr_chr9,1.18,1.3728E-10,1.1155E-09,-0.59,0.025546357,0.122864658,-0.978844017,6.45E-06,4.17E-05,-1.763922801,1.61E-17,1.44E-16
Srprb_chr9,0.48,0.052313618,0.112529479,-0.73,0.023564916,0.11558646,-0.060831468,0.962564149,1,-1.206771762,2.96E-05,9.55E-05
Srpx_chrX,0.51,0.199786954,0.354458265,0.16,0.687139794,1,0.078986015,0.392296649,0.674831541,-0.352456936,0.484462569,0.715532895
Srpx2_chrX,0.63,0.232416205,0.401677147,0.76,0.005651734,0.037250792,0.005558187,0.453217527,0.757095017,0.126408967,0.105732824,0.190364955
Srr_chr11,1.42,5.9375E-15,7.5609E-14,-0.50,0.030619251,0.141716528,-0.934098216,3.58E-07,2.92E-06,-1.91646059,1.16E-22,1.47E-21
Srrd_chr5,-0.08,0.993186025,1,-0.03,0.887568441,1,-0.022273329,0.394030771,0.677513696,0.056492493,0.87860115,1
Srrm1_chr4,-0.94,5.31E-06,2.45E-05,0.20,0.82943943,1,0.394251736,0.05255582,0.129111762,1.138118827,1.51E-05,5.03E-05
Srrm2_chr17,0.41,0.201903506,0.357721848,0.68,0.16909895,0.478441865,-0.351604635,0.788812713,1,0.274177888,0.920570583,1
Srrm3_chr5,0.00,0.546774029,0.797485369,0.00,0.320161043,0.716124723,0,1,1,0,1,1
Srrm4_chr5,-0.12,0.660876533,0.914593618,0.90,0.006579563,0.042154613,-0.209419923,0.588355064,0.891237889,1.012394388,0.021838369,0.045636515
Srrt_chr5,-0.89,0.000189708,0.000686195,0.14,0.815059667,1,0.255998158,0.019617548,0.05556512,1.025580116,7.67E-05,0.0002352
Srsf1_chr11,-0.84,6.93E-05,0.00026944,0.27,0.506014578,0.943851927,0.582190931,0.000939437,0.003786425,1.106472817,3.76E-06,1.34E-05
Srsf10_chr4,-1.45,1.8839E-12,1.8614E-11,0.54,0.044110737,0.184775331,1.151907294,3.42E-08,3.30E-07,1.987768356,5.51E-19,5.46E-18
Srsf11_chr3,-0.85,9.69E-05,0.000367854,1.05,0.000438189,0.004364985,1.285748714,4.84E-09,5.34E-08,1.903664755,3.82E-13,2.49E-12
Srsf12_chr4,-2.93,1.36E-10,1.11E-09,-0.73,0.713200251,1,0.183573697,0.409421055,0.699525462,2.202830657,4.32E-07,1.68E-06
Srsf2_chr11,-0.55,0.006321137,0.01705995,0.15,0.497428068,0.935525557,1.029950332,7.12E-09,7.63E-08,0.701421142,0.000676484,0.001813556
Srsf4_chr4,-0.20,0.436871201,0.678296108,0.13,0.462810879,0.894775771,-0.149454886,0.759520141,1,0.327081742,0.131311865,0.231190651
Srsf5_chr12,-0.47,0.068599303,0.142064498,0.42,0.057279949,0.223578439,0.853376274,1.42E-06,1.04E-05,0.884724696,0.00021557,0.000622033
Srsf6_chr2,-0.70,0.001045739,0.003303831,0.50,0.085829845,0.301615466,0.990150543,4.10E-07,3.30E-06,1.206166776,7.07E-07,2.70E-06
Srsf7_chr17,-1.34,9.5918E-13,9.7556E-12,0.53,0.205029937,0.542902224,1.626542231,2.81E-13,5.65E-12,1.867477764,9.79E-17,8.31E-16
Srsf9_chr5,-0.29,0.01497173,0.036990444,0.28,0.369355263,0.77418436,0.815964779,0.012033216,0.03635148,0.574910225,0.000923889,0.002424751
Srxn1_chr2,1.52,1.0440E-11,9.5941E-11,-0.12,0.547754902,0.976987521,-1.001719041,6.63E-06,4.28E-05,-1.646163833,1.91E-13,1.27E-12
Sry_chrY,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Ss18_chr18,-0.33,0.058622696,0.124149755,0.00,0.579673224,1,0.179712776,0.37435162,0.64924863,0.331528292,0.185026445,0.311821217
Ss18l1_chr2,0.46,0.011293581,0.028741002,-0.04,0.630707184,1,-0.029825176,0.855717342,1,-0.506684016,0.002838136,0.006912417
Ssb_chr2,-0.89,1.49E-06,7.45E-06,-0.04,0.80718233,1,0.47114028,0.071939077,0.169165653,0.851432931,5.06E-06,1.77E-05
Ssbp1_chr6,0.10,0.347343096,0.561274756,-0.19,0.768416078,1,0.267767776,0.332384328,0.591516333,-0.292930139,0.523348546,0.763456168
Ssbp2_chr13,0.52,0.334145739,0.54353937,0.94,0.867878834,1,0.35907177,0.906254884,1,0.420246505,0.444887002,0.664770393
Ssbp3_chr4,1.06,1.2352E-08,8.0727E-08,-0.34,0.396874184,0.811272411,-1.023811092,1.39E-06,1.02E-05,-1.403117931,8.17E-11,4.43E-10
Ssbp4_chr8,-1.60,1.3715E-10,1.1148E-09,2.25,4.29E-12,2.08E-10,2.863100615,9.18E-21,4.28E-19,3.847758048,1.49E-34,4.33E-33
Ssfa2_chr2,0.61,0.008731909,0.022752502,-0.18,0.423000351,0.843822159,0.113368281,0.719414312,1,-0.789186448,0.000656295,0.001763883
Ssh1_chr5,0.53,0.044793585,0.097999343,-0.23,0.453134591,0.88305335,-1.530213425,0.000729581,0.003026138,-0.763944577,0.006468629,0.014850432
Ssh2_chr11,0.04,0.895808881,1,0.53,0.048226747,0.197275788,0.29666345,0.017693018,0.050842694,0.48962966,0.035224025,0.070593854
Ssh3_chr19,0.23,0.232301809,0.401539163,0.71,0.016393181,0.087120402,0.007131928,0.076644194,0.178335108,0.477209996,0.223781563,0.369839535
Ssna1_chr2,-0.45,0.036607149,0.081936835,-0.19,0.813109256,1,0.683055965,0.043801875,0.110496316,0.25402899,0.065287468,0.123637611
Sspn_chr6,0.49,0.126133533,0.240234659,0.06,0.324818301,0.721421526,-0.257538176,0.347808348,0.613143139,-0.420406016,0.643435788,0.894721911
Sspo_chr6,-2.20,5.54E-06,2.54E-05,-0.73,0.928530478,1,-0.656187037,0.496669005,0.816000531,1.474775729,1.93E-05,6.38E-05
Ssr1_chr13,0.20,0.519484072,0.779998051,-0.35,0.371087664,0.776314457,-0.540300522,0.008906943,0.027777424,-0.543041939,0.124261152,0.220125709
Ssr2_chr3,0.30,0.25408224,0.433830817,-0.76,0.0167211,0.08843841,-0.564452197,0.004180294,0.014251143,-1.058033633,0.000431928,0.001190749
Ssr3_chr3,0.46,0.010186626,0.026129932,-0.41,0.240894034,0.604511107,-0.161047236,0.503415467,0.824945385,-0.869663885,0.00019327,0.000561731
Ssr4_chrX,0.27,0.337856735,0.548692559,-0.59,0.301372629,0.691948221,0.274197754,0.497380745,0.816957276,-0.856100415,0.046819836,0.091436385
Ssrp1_chr2,-0.72,7.87E-05,0.000302897,-0.38,0.014485341,0.079190622,-0.556913466,0.020790894,0.058411554,0.332028529,0.131265545,0.231159451
Sssca1_chr19,0.50,0.203242028,0.359791647,-0.12,0.706859319,1,0.22212806,0.745928186,1,-0.617895709,0.376000711,0.573414037
Sst_chr16,-1.02,0.52039129,0.781107898,0.00,1,1,1.354781333,0.08943079,0.202576675,1.018392408,1,1
Sstr1_chr12,1.18,0.281155123,0.472181317,-0.29,0.513900751,0.949519276,-1.476353306,0.156752581,0.322811695,-1.476353306,0.089956246,0.164963558
Sstr2_chr11,3.04,1.2784E-04,4.7651E-04,0.32,0.830757105,1,-2.288083077,0.000844019,0.003444855,-2.714447421,8.75E-05,0.000266843
Sstr3_chr15,-3.09,0.048743962,0.105697072,0.00,0.398201217,0.812698365,0,0.598800811,0.903292928,3.086321796,0.425573473,0.63919909
Sstr4_chr2,-1.65,0.762395555,1,0.00,0.551557894,0.980509864,0,1,1,1.645107159,0.32733684,0.512552767
Sstr5_chr17,0.00,0.554175587,0.797485369,0.00,1,1,0,1,1,0,0.554175587,0.791395255
Ssu72_chr4,0.10,0.741883853,1,-0.59,0.069016032,0.256958122,-0.207086881,0.306619133,0.553548408,-0.694103259,0.031875652,0.064394138
Ssx2ip_chr3,0.33,0.151951873,0.282373383,-0.01,0.837868428,1,-0.143384621,0.140680278,0.296410668,-0.345283675,0.10311316,0.186167637
Ssx9_chrX,0.00,1,1,-1.50,0.345610949,0.745149372,-1.502451638,0.563740633,0.864402986,-1.502451638,0.345610949,0.534575605
Ssxb1_chrX,-0.56,1,1,-1.50,0.328460605,0.726646783,-1.502451638,0.55230707,0.861739933,-0.940513709,0.693278795,0.950548625
Ssxb10_chrX,-1.02,0.54029449,0.797485369,0.00,1,1,0,1,1,1.018392408,1,1
Ssxb2_chrX,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Ssxb3_chrX,-0.16,1,1,0.86,1,1,0.850760096,0.526905263,0.843785668,1.018392408,1,1
Ssxb5_chrX,-2.08,0.067673604,0.140410192,-1.50,0.29947678,0.688875949,-1.502451638,0.53298452,0.848378539,0.57476431,1,1
Ssxb6_chrX,-1.02,0.554107328,0.797485369,0.00,1,1,0,1,1,1.018392408,1,1
Ssxb8_chrX,0.00,1,1,-1.50,0.345445215,0.745149372,-1.502451638,0.563630143,0.864402986,-1.502451638,0.345445215,0.534390388
Ssxb9_chrX,-1.37,0.296237207,0.493198129,-1.49,0.172506017,0.485043347,-1.488616331,0.296237207,0.538444603,-0.122547555,0.736564787,0.99951919
St13_chr15,1.10,8.3959E-08,4.9398E-07,-0.53,0.00818434,0.05023684,-0.513723277,0.001480754,0.005678667,-1.63154632,3.28E-15,2.50E-14
St14_chr9,-3.12,1.2257E-20,2.8176E-19,-0.03,0.408377168,0.826354844,0.359696682,0.050935154,0.125715058,3.090759705,3.30E-22,4.04E-21
St18_chr1,-6.56,2.42E-31,1.40E-29,0.00,0.507495952,0.944890722,0,1,1,6.557898787,4.54E-22,5.50E-21
St3gal1_chr15,0.90,8.93E-07,4.60E-06,-0.06,0.457615294,0.888098491,-0.554430419,0.000683202,0.002858772,-0.964964482,1.81E-08,8.07E-08
St3gal2_chr8,-2.98,7.4180E-35,5.8638E-33,-0.18,0.379184417,0.787721986,-0.115725529,0.627853936,0.938047282,2.799806554,1.05E-29,2.22E-28
St3gal3_chr4,1.51,4.9206E-15,6.3495E-14,-0.11,0.884210939,1,-0.859666374,7.24E-07,5.56E-06,-1.616626338,1.57E-14,1.14E-13
St3gal4_chr9,0.12,0.289854513,0.484132448,0.60,0.004097601,0.028640073,1.417702293,4.82E-09,5.33E-08,0.475600156,0.068812952,0.129700974
St3gal5_chr6,0.22,0.470216388,0.719836778,0.41,0.009119766,0.054765729,0.22280335,0.003679274,0.012733631,0.180934984,0.058677403,0.112318825
St3gal6_chr16,-0.93,0.000371862,0.001271829,0.70,0.004012507,0.028080009,2.764340145,5.55E-17,1.75E-15,1.631120258,7.11E-10,3.57E-09
St5_chr7,0.90,1.82E-05,7.75E-05,-1.21,2.94E-12,1.46E-10,-2.99102354,2.58E-43,1.05E-40,-2.111990195,8.80E-28,1.62E-26
St6gal1_chr16,1.15,5.0211E-08,3.0325E-07,0.30,0.657618767,1,-0.583502262,0.000132061,0.000646944,-0.857148612,5.28E-07,2.04E-06
St6gal2_chr17,0.00,1,1,0.00,1,1,0,1,1,0,1,1
St6galnac1_chr11,-1.02,0.543341588,0.797485369,0.00,1,1,0,0.543341588,0.857350343,1.018392408,1,1
St6galnac2_chr11,0.11,0.834314958,1,0.50,0.011984557,0.068298457,0.351482216,0.080087866,0.184922207,0.390991917,0.020805432,0.043686918
St6galnac3_chr3,-1.70,7.3019E-06,3.3021E-05,-0.27,0.463201353,0.895276068,0.543318219,0.005007895,0.016714558,1.431999312,6.66E-07,2.55E-06
St6galnac4_chr2,-1.13,8.4831E-05,3.2495E-04,1.48,0.000353344,0.003606372,1.903032733,2.17E-07,1.85E-06,2.613223675,1.92E-12,1.19E-11
St6galnac5_chr3,-0.39,0.438010919,0.679530958,0.45,1,1,0,1,1,0.846423614,0.290810638,0.463478208
St6galnac6_chr2,0.56,0.000201028,0.000723541,-0.61,0.006545059,0.041965451,-1.101149892,3.70E-08,3.54E-07,-1.177027246,1.94E-10,1.02E-09
St7_chr6,0.17,0.729327893,0.989178888,-0.39,0.719011314,1,0.042881068,0.122169557,0.263728159,-0.566333426,0.480433177,0.710575131
St7l_chr3,0.71,0.000858796,0.002749471,-0.01,0.745801123,1,0.361378632,0.590166353,0.893450113,-0.715987903,0.00276734,0.006753437
St8sia1_chr6,-5.90,1.1472E-45,1.5775E-43,1.12,0.372372806,0.778302367,1.458465417,0.241695183,0.458680064,7.019523719,3.08E-37,1.09E-35
St8sia2_chr7,1.44,0.30545837,0.505832443,-0.01,0.23373702,0.592824222,0.693997084,0.666537762,0.983575947,-1.454976068,0.032706058,0.065916988
St8sia3_chr18,-0.50,0.428910912,0.667966341,0.57,0.078156555,0.282610423,-0.179255741,0.551667086,0.861468619,1.073517084,0.011084688,0.024501442
St8sia4_chr1,-2.81,2.3862E-29,1.1774E-27,2.43,3.54E-13,2.03E-11,4.290134182,1.35E-40,4.23E-38,5.241907867,6.57E-61,1.04E-58
St8sia5_chr18,0.00,1,1,0.00,1,1,0,1,1,0,1,1
St8sia6_chr2,-5.90,8.9892E-53,1.6847E-50,3.07,0.015088828,0.081835324,1.322315508,0.201043821,0.39484986,8.963791612,1.72E-55,2.10E-53
Stab1_chr14,0.19,0.736645892,0.995907535,0.72,0.007621145,0.047445866,0.797798456,8.78E-05,0.000447565,0.52690841,0.019523049,0.041299441
